consensus_cluster_id,angle_state_label,consensus_level,method_count,supporting_methods,member_event_count,cluster_start_time_s,cluster_end_time_s,representative_time_s,representative_frequency_hz,frequency_low_hz,frequency_high_hz,maximum_anomaly_score,interpretation
C043,stable_10deg,single_method_only,1,SVMD,1,113.0,117.995,114.0,68.0,68.0,68.0,9.442870632672332,single_method_candidate_requires_review
C044,stable_10deg,single_method_only,1,SVMD,1,115.0,117.495,116.0,36.0,36.0,36.0,4.721435316336167,single_method_candidate_requires_review
C045,stable_10deg,single_method_only,1,VMD,1,116.0,120.495,118.0,16.5,16.5,16.5,4.108557946632005,single_method_candidate_requires_review
C046,stable_10deg,single_method_only,1,SVMD,1,117.0,119.995,118.5,36.0,36.0,36.0,5.395926075812762,single_method_candidate_requires_review
C047,stable_10deg,single_method_only,1,VMD,1,117.5,120.995,119.0,17.5,17.5,17.5,4.701519488280139,single_method_candidate_requires_review
C048,stable_10deg,single_method_only,1,VMD,1,119.5,121.995,120.5,60.25,60.25,60.25,6.306459273746924,single_method_candidate_requires_review
C049,stable_43deg,single_method_only,1,VMD,1,139.0,141.495,140.0,58.0,58.0,58.0,4.237805874894198,single_method_candidate_requires_review
C050,stable_43deg,single_method_only,1,STVMD,1,141.0,145.495,142.5,54.0,54.0,54.0,7.4193983542425475,single_method_candidate_requires_review
C051,stable_43deg,single_method_only,1,AVMD,1,152.5,154.995,153.5,97.5,97.5,97.5,7.4193983542425475,single_method_candidate_requires_review
C052,stable_43deg,single_method_only,1,AVMD,1,156.0,158.495,157.0,49.5,49.5,49.5,6.070416835289357,single_method_candidate_requires_review
C053,stable_43deg,two_method_consensus,2,"IOVMD,VMD",2,167.0,169.495,168.0,32.5,32.5,32.5,4.046944556859572,cross_method_anomaly_candidate
C054,stable_43deg,single_method_only,1,SVMD,1,174.5,176.995,175.5,95.0,95.0,95.0,4.046944556859572,single_method_candidate_requires_review
C055,stable_43deg,single_method_only,1,STVMD,1,180.5,183.495,181.5,54.5,54.5,54.5,7.4193983542425475,single_method_candidate_requires_review
C056,stable_10deg,two_method_consensus,2,"STVMD,SVMD",7,196.5,229.995,211.5,35.0,35.0,36.0,6.7449075947659525,cross_method_anomaly_candidate
C057,stable_10deg,single_method_only,1,STVMD,1,198.5,200.995,199.5,18.0,18.0,18.0,8.0,single_method_candidate_requires_review
C058,stable_10deg,single_method_only,1,SVMD,1,199.5,202.495,200.5,66.0,66.0,66.0,8.093889113719143,single_method_candidate_requires_review
C059,stable_10deg,single_method_only,1,STVMD,1,201.5,205.995,202.5,60.0,60.0,60.0,4.046944556859572,single_method_candidate_requires_review
C060,stable_10deg,single_method_only,1,AVMD,1,202.5,204.995,204.0,50.25,50.25,50.25,4.721435316336167,single_method_candidate_requires_review
C061,stable_10deg,single_method_only,1,STVMD,1,205.0,209.995,206.0,60.0,60.0,60.0,4.046944556859572,single_method_candidate_requires_review
C062,stable_10deg,three_method_consensus,3,"IOVMD,STVMD,SVMD",3,205.5,208.495,206.5,69.0,69.0,69.0,4.721435316336167,cross_method_anomaly_candidate
C063,stable_10deg,single_method_only,1,STVMD,1,209.0,212.495,210.0,60.0,60.0,60.0,4.046944556859572,single_method_candidate_requires_review
C064,stable_10deg,single_method_only,1,SVMD,1,212.0,214.495,213.5,68.0,68.0,68.0,6.070416835289357,single_method_candidate_requires_review
C065,stable_10deg,three_method_consensus,3,"AVMD,STVMD,VMD",3,217.5,226.495,222.0,60.0,60.0,60.0,4.046944556859572,cross_method_anomaly_candidate
C066,stable_10deg,single_method_only,1,VMD,1,219.5,221.995,220.5,39.0,39.0,39.0,4.0,single_method_candidate_requires_review
C067,stable_10deg,single_method_only,1,SVMD,1,222.5,224.995,223.5,68.5,68.5,68.5,4.721435316336167,single_method_candidate_requires_review
C068,stable_10deg,two_method_consensus,2,"IOVMD,VMD",2,223.0,225.995,224.0,38.5,38.5,38.5,6.0,cross_method_anomaly_candidate
C069,stable_10deg,single_method_only,1,STVMD,1,226.0,228.495,227.0,59.75,59.75,59.75,4.046944556859572,single_method_candidate_requires_review
C070,stable_10deg,single_method_only,1,SVMD,1,226.0,228.995,227.0,68.5,68.5,68.5,4.721435316336167,single_method_candidate_requires_review
