method,mode,angle_state_label,physical_role_candidate,event_start_time_s,event_end_time_s,event_duration_s,peak_time_s,candidate_window_count,peak_anomaly_score,mean_anomaly_score,dominant_deviation_feature,global_peak_frequency_hz,representative_local_frequency_hz,local_frequency_low_hz,local_frequency_high_hz,interpretation,source_event_index,comparison_frequency_hz,consensus_cluster_id,consensus_level,method_count,supporting_methods
VMD,IMF2,stable_10deg,background_dynamic_mode,109.0,113.495,4.4950000000000045,111.0,6,4.103380920752292,3.850450120744558,envelope_mean_nm,16.18567454798331,16.75,16.0,17.5,anomaly_candidate_not_confirmed_fault,58,16.75,C039,two_method_consensus,2,"IOVMD,VMD"
VMD,IMF3,stable_10deg,background_dynamic_mode,111.0,113.995,2.9950000000000045,112.5,3,4.122332191642026,3.989642064931562,rms_nm,17.793810848400554,17.5,17.5,17.5,anomaly_candidate_not_confirmed_fault,59,17.5,C039,two_method_consensus,2,"IOVMD,VMD"
IOVMD,IMF4,stable_10deg,background_dynamic_mode,111.5,113.995,2.4950000000000045,112.5,2,3.631581668127717,3.597193566384483,rms_nm,17.793810848400554,17.5,17.5,17.5,anomaly_candidate_not_confirmed_fault,60,17.5,C039,two_method_consensus,2,"IOVMD,VMD"
IOVMD,IMF2,stable_10deg,background_dynamic_mode,113.0,115.495,2.4950000000000045,114.0,2,4.404068165650933,4.045284417305239,rms_nm,5.4242002781641165,4.0,4.0,4.0,anomaly_candidate_not_confirmed_fault,61,4.0,C042,single_method_only,1,IOVMD
SVMD,IMF8,stable_10deg,background_dynamic_mode,113.0,117.995,4.9950000000000045,114.0,7,9.442870632672332,5.877705189724616,local_peak_frequency_hz,72.63125869262865,68.0,65.0,68.5,anomaly_candidate_not_confirmed_fault,62,68.0,C043,single_method_only,1,SVMD
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,115.0,117.495,2.4950000000000045,116.0,2,4.721435316336167,4.721435316336167,local_peak_frequency_hz,39.90785813630041,36.0,36.0,36.0,anomaly_candidate_not_confirmed_fault,63,36.0,C044,single_method_only,1,SVMD
VMD,IMF2,stable_10deg,background_dynamic_mode,116.0,120.495,4.4950000000000045,118.0,6,4.108557946632005,3.927255405510049,envelope_mean_nm,16.18567454798331,16.5,13.5,17.5,anomaly_candidate_not_confirmed_fault,64,16.5,C045,single_method_only,1,VMD
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,117.0,119.995,2.9950000000000045,118.5,3,5.395926075812762,4.721435316336167,local_peak_frequency_hz,39.90785813630041,36.0,35.5,36.5,anomaly_candidate_not_confirmed_fault,65,36.0,C046,single_method_only,1,SVMD
VMD,IMF3,stable_10deg,background_dynamic_mode,117.5,120.995,3.4950000000000045,119.0,4,4.701519488280139,4.271559441994544,rms_nm,17.793810848400554,17.5,17.5,17.5,anomaly_candidate_not_confirmed_fault,66,17.5,C047,single_method_only,1,VMD
VMD,IMF7,stable_10deg,background_dynamic_mode,119.5,121.995,2.4950000000000045,120.5,2,6.306459273746924,5.518151864528559,local_peak_frequency_hz,59.97479137691238,60.25,58.5,62.0,anomaly_candidate_not_confirmed_fault,67,60.25,C048,single_method_only,1,VMD
VMD,IMF7,stable_43deg,background_dynamic_mode,139.0,141.495,2.4950000000000045,140.0,2,4.237805874894198,4.237805874894198,local_peak_frequency_hz,59.97479137691238,58.0,58.0,58.0,anomaly_candidate_not_confirmed_fault,68,58.0,C049,single_method_only,1,VMD
STVMD,IMF6,stable_43deg,background_dynamic_mode,141.0,145.495,4.4950000000000045,142.5,6,7.4193983542425475,6.295247088448222,local_peak_frequency_hz,59.97479137691238,54.0,54.0,56.5,anomaly_candidate_not_confirmed_fault,69,54.0,C050,single_method_only,1,STVMD
AVMD,IMF7,stable_43deg,background_dynamic_mode,152.5,154.995,2.4950000000000045,153.5,2,7.4193983542425475,7.4193983542425475,local_peak_frequency_hz,90.29468011126563,97.5,97.5,97.5,anomaly_candidate_not_confirmed_fault,70,97.5,C051,single_method_only,1,AVMD
AVMD,IMF4,stable_43deg,background_dynamic_mode,156.0,158.495,2.4950000000000045,157.0,2,6.070416835289357,6.070416835289357,local_peak_frequency_hz,54.08118915159944,49.5,49.5,49.5,anomaly_candidate_not_confirmed_fault,71,49.5,C052,single_method_only,1,AVMD
IOVMD,IMF6,stable_43deg,angle_movement_response_candidate,167.0,169.495,2.4950000000000045,168.0,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,35.626738525730175,32.5,32.5,32.5,anomaly_candidate_not_confirmed_fault,72,32.5,C053,two_method_consensus,2,"IOVMD,VMD"
VMD,IMF4,stable_43deg,angle_movement_response_candidate,167.0,169.495,2.4950000000000045,168.0,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,35.626738525730175,32.5,32.5,32.5,anomaly_candidate_not_confirmed_fault,73,32.5,C053,two_method_consensus,2,"IOVMD,VMD"
SVMD,IMF10,stable_43deg,background_dynamic_mode,174.5,176.995,2.4950000000000045,175.5,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,90.29468011126563,95.0,95.0,95.0,anomaly_candidate_not_confirmed_fault,74,95.0,C054,single_method_only,1,SVMD
STVMD,IMF6,stable_43deg,background_dynamic_mode,180.5,183.495,2.9950000000000045,181.5,3,7.4193983542425475,6.520077341607087,local_peak_frequency_hz,59.97479137691238,54.5,54.0,55.5,anomaly_candidate_not_confirmed_fault,75,54.5,C055,single_method_only,1,STVMD
STVMD,IMF5,stable_10deg,background_dynamic_mode,196.5,229.995,33.495000000000005,209.0,64,6.7449075947659525,5.638321192499663,local_peak_frequency_hz,39.90785813630041,35.0,34.5,36.5,anomaly_candidate_not_confirmed_fault,76,35.0,C056,two_method_consensus,2,"STVMD,SVMD"
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,196.5,203.495,6.9950000000000045,197.5,11,6.070416835289357,6.009099493518757,local_peak_frequency_hz,39.90785813630041,35.0,35.0,35.5,anomaly_candidate_not_confirmed_fault,77,35.0,C056,two_method_consensus,2,"STVMD,SVMD"
STVMD,IMF4,stable_10deg,background_dynamic_mode,198.5,200.995,2.4950000000000045,199.5,2,8.0,8.0,local_peak_frequency_hz,20.07127955493741,18.0,18.0,18.0,anomaly_candidate_not_confirmed_fault,78,18.0,C057,single_method_only,1,STVMD
SVMD,IMF8,stable_10deg,background_dynamic_mode,199.5,202.495,2.9950000000000045,200.5,3,8.093889113719143,7.869058860560277,local_peak_frequency_hz,72.63125869262865,66.0,66.0,66.5,anomaly_candidate_not_confirmed_fault,79,66.0,C058,single_method_only,1,SVMD
STVMD,IMF6,stable_10deg,background_dynamic_mode,201.5,205.995,4.4950000000000045,202.5,6,4.046944556859572,4.046944556859572,local_peak_frequency_hz,59.97479137691238,60.0,60.0,60.0,anomaly_candidate_not_confirmed_fault,80,60.0,C059,single_method_only,1,STVMD
AVMD,IMF4,stable_10deg,background_dynamic_mode,202.5,204.995,2.4950000000000045,204.0,2,4.721435316336167,4.384189936597869,local_peak_frequency_hz,54.08118915159944,50.25,50.0,50.5,anomaly_candidate_not_confirmed_fault,81,50.25,C060,single_method_only,1,AVMD
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,202.5,207.995,5.4950000000000045,203.5,8,5.395926075812762,4.8057466612707405,local_peak_frequency_hz,39.90785813630041,36.0,35.5,36.5,anomaly_candidate_not_confirmed_fault,82,36.0,C056,two_method_consensus,2,"STVMD,SVMD"
STVMD,IMF6,stable_10deg,background_dynamic_mode,205.0,209.995,4.9950000000000045,206.0,7,4.046944556859572,4.046944556859572,local_peak_frequency_hz,59.97479137691238,60.0,60.0,60.0,anomaly_candidate_not_confirmed_fault,83,60.0,C061,single_method_only,1,STVMD
IOVMD,IMF9,stable_10deg,background_dynamic_mode,205.5,207.995,2.4950000000000045,206.5,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,72.63125869262865,69.0,69.0,69.0,anomaly_candidate_not_confirmed_fault,84,69.0,C062,three_method_consensus,3,"IOVMD,STVMD,SVMD"
STVMD,IMF7,stable_10deg,background_dynamic_mode,205.5,207.995,2.4950000000000045,206.5,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,59.94871349095966,69.0,69.0,69.0,anomaly_candidate_not_confirmed_fault,85,69.0,C062,three_method_consensus,3,"IOVMD,STVMD,SVMD"
SVMD,IMF8,stable_10deg,background_dynamic_mode,205.5,208.495,2.9950000000000045,207.5,3,4.721435316336167,4.271774810018436,local_peak_frequency_hz,72.63125869262865,69.0,68.5,69.0,anomaly_candidate_not_confirmed_fault,86,69.0,C062,three_method_consensus,3,"IOVMD,STVMD,SVMD"
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,208.5,212.495,3.995000000000005,211.5,5,6.7449075947659525,5.530824227708081,local_peak_frequency_hz,39.90785813630041,35.5,34.5,36.0,anomaly_candidate_not_confirmed_fault,87,35.5,C056,two_method_consensus,2,"STVMD,SVMD"
STVMD,IMF6,stable_10deg,background_dynamic_mode,209.0,212.495,3.4950000000000045,210.0,4,4.046944556859572,4.046944556859572,local_peak_frequency_hz,59.97479137691238,60.0,60.0,60.0,anomaly_candidate_not_confirmed_fault,88,60.0,C063,single_method_only,1,STVMD
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,212.0,217.995,5.9950000000000045,213.0,9,6.7449075947659525,6.070416835289357,local_peak_frequency_hz,39.90785813630041,35.0,34.5,35.5,anomaly_candidate_not_confirmed_fault,89,35.0,C056,two_method_consensus,2,"STVMD,SVMD"
