method,mode,angle_state_label,physical_role_candidate,event_start_time_s,event_end_time_s,event_duration_s,peak_time_s,candidate_window_count,peak_anomaly_score,mean_anomaly_score,dominant_deviation_feature,global_peak_frequency_hz,representative_local_frequency_hz,local_frequency_low_hz,local_frequency_high_hz,interpretation
SVMD,IMF8,stable_10deg,background_dynamic_mode,19.5,21.995,2.495000000000001,21.0,2,4.721435316336167,4.384189936597869,local_peak_frequency_hz,72.63125869262865,68.75,68.5,69.0,anomaly_candidate_not_confirmed_fault
VMD,IMF2,stable_10deg,background_dynamic_mode,19.5,22.995,3.495000000000001,21.0,4,3.7075447778004724,3.6209557580416787,envelope_mean_nm,16.18567454798331,17.0,15.5,17.5,anomaly_candidate_not_confirmed_fault
VMD,IMF3,stable_10deg,background_dynamic_mode,19.5,23.495,3.995000000000001,21.0,5,6.508335755267509,5.108815115849173,envelope_mean_nm,17.793810848400554,17.5,17.0,17.5,anomaly_candidate_not_confirmed_fault
IOVMD,IMF4,stable_10deg,background_dynamic_mode,20.0,22.495,2.495000000000001,21.5,2,4.363824238858523,4.35358012763982,envelope_mean_nm,17.793810848400554,17.5,17.5,17.5,anomaly_candidate_not_confirmed_fault
SVMD,IMF8,stable_10deg,background_dynamic_mode,21.0,23.995,2.995000000000001,22.0,3,7.4193983542425475,6.295247088448222,local_peak_frequency_hz,72.63125869262865,66.5,66.5,69.0,anomaly_candidate_not_confirmed_fault
SVMD,IMF8,stable_10deg,background_dynamic_mode,24.5,26.995,2.495000000000001,25.5,2,6.070416835289357,5.733171455551059,local_peak_frequency_hz,72.63125869262865,67.75,67.5,68.0,anomaly_candidate_not_confirmed_fault
SVMD,IMF8,stable_10deg,background_dynamic_mode,26.0,28.495,2.495000000000001,27.5,2,6.7449075947659525,6.4076622150276545,local_peak_frequency_hz,72.63125869262865,67.25,67.0,67.5,anomaly_candidate_not_confirmed_fault
STVMD,IMF6,stable_43deg,background_dynamic_mode,39.0,41.495,2.4949999999999974,40.0,2,6.7449075947659525,6.7449075947659525,local_peak_frequency_hz,59.97479137691238,54.5,54.5,54.5,anomaly_candidate_not_confirmed_fault
STVMD,IMF6,stable_43deg,background_dynamic_mode,41.5,45.495,3.9949999999999974,42.5,5,7.4193983542425475,6.610009442870632,local_peak_frequency_hz,59.97479137691238,54.0,54.0,55.5,anomaly_candidate_not_confirmed_fault
VMD,IMF3,stable_43deg,background_dynamic_mode,44.5,46.995,2.4949999999999974,45.5,2,4.060318187993844,4.060318187993844,local_peak_frequency_hz,17.793810848400554,20.0,20.0,20.0,anomaly_candidate_not_confirmed_fault
