consensus_cluster_id,consensus_level,method_count,supporting_methods,method,mode,angle_state_label,event_start_time_s,event_end_time_s,peak_time_s,peak_anomaly_score,dominant_deviation_feature,global_peak_frequency_hz,representative_local_frequency_hz,local_frequency_low_hz,local_frequency_high_hz,physical_role_candidate,interpretation
C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD",IOVMD,IMF10,stable_10deg,95.5,98.995,97.0,4.763641766329568,rms_nm,80.04607093184978,80.0,80.0,80.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD",STVMD,IMF8,stable_10deg,95.5,98.995,97.0,4.985621711050707,envelope_mean_nm,80.04607093184978,80.0,80.0,80.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD",SVMD,IMF9,stable_10deg,96.0,98.995,97.0,4.894825336323176,rms_nm,80.04607093184978,80.0,80.0,80.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD",VMD,IMF9,stable_10deg,95.5,98.995,97.0,4.762677070349974,rms_nm,80.04607093184978,80.0,80.0,80.0,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C039,two_method_consensus,2,"IOVMD,VMD",IOVMD,IMF4,stable_10deg,111.5,113.995,112.5,3.631581668127717,rms_nm,17.793810848400554,17.5,17.5,17.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C039,two_method_consensus,2,"IOVMD,VMD",VMD,IMF2,stable_10deg,109.0,113.495,111.0,4.103380920752292,envelope_mean_nm,16.18567454798331,16.75,16.0,17.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C039,two_method_consensus,2,"IOVMD,VMD",VMD,IMF3,stable_10deg,108.0,110.995,110.0,4.010654793709703,rms_nm,17.793810848400554,17.5,17.5,17.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C039,two_method_consensus,2,"IOVMD,VMD",VMD,IMF3,stable_10deg,111.0,113.995,112.5,4.122332191642026,rms_nm,17.793810848400554,17.5,17.5,17.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C040,two_method_consensus,2,"STVMD,SVMD",STVMD,IMF5,stable_10deg,109.0,111.495,110.0,4.046944556859572,local_peak_frequency_hz,39.90785813630041,36.5,36.5,36.5,background_dynamic_mode,anomaly_candidate_not_confirmed_fault
C040,two_method_consensus,2,"STVMD,SVMD",SVMD,IMF5,stable_10deg,109.0,111.995,110.0,4.046944556859572,local_peak_frequency_hz,39.90785813630041,36.5,36.5,36.5,angle_movement_response_candidate,anomaly_candidate_not_confirmed_fault
