method,mode,physical_role_candidate,global_peak_frequency_hz,angle_state_label,feature,sample_count,mean,standard_deviation,median,mad,robust_sigma,q05,q25,q75,q95,minimum,maximum
AVMD,IMF1,angle_position_mode,0.008692628650904,stable_10deg,energy_nm2,175,5.819366615284384,0.7890892762837584,5.704638829304997,0.5829428131485521,0.8642710147740433,4.646349551608962,5.283645311439923,6.377658614720148,7.090819989518174,4.191638520622807,7.708780452426756
AVMD,IMF1,angle_position_mode,0.008692628650904,stable_10deg,envelope_mean_nm,175,0.1437179380323813,0.024767896811776643,0.1376629972323783,0.015112463302196205,0.022405738091836092,0.1173192593943963,0.12408160992036629,0.1568884532500908,0.1877669999996493,0.1111066660561159,0.2423277153083741
AVMD,IMF1,angle_position_mode,0.008692628650904,stable_10deg,local_peak_frequency_hz,0,,,,,,,,,,,
AVMD,IMF1,angle_position_mode,0.008692628650904,stable_10deg,rms_nm,175,0.12034275627544923,0.008149667256371297,0.1194219287788574,0.006105138462869211,0.009051478285049892,0.1077766458377678,0.1149309059448197,0.12627005766223398,0.13314258442882038,0.1023674572388951,0.1388234531016531
AVMD,IMF1,angle_position_mode,0.008692628650904,stable_43deg,energy_nm2,184,6.802629355005143,0.8149192550427388,6.67521745179657,0.5304340839817376,0.7864215729113242,5.7116048003910995,6.277948962726131,7.29434281748496,8.357255525513958,4.780585322110026,9.070441176588217
AVMD,IMF1,angle_position_mode,0.008692628650904,stable_43deg,envelope_mean_nm,184,0.15010705889859768,0.027377639678944597,0.14176792439796704,0.010842504848619455,0.016075097688563203,0.12077600710687711,0.13234006256011457,0.15734664612763644,0.20682697726845317,0.1094469557006844,0.2435703591127203
AVMD,IMF1,angle_position_mode,0.008692628650904,stable_43deg,local_peak_frequency_hz,0,,,,,,,,,,,
AVMD,IMF1,angle_position_mode,0.008692628650904,stable_43deg,rms_nm,184,0.1301800919753218,0.007748765284674676,0.12918220876390016,0.005087539786285081,0.00754278648714626,0.11949478980991986,0.12527916355527752,0.13504018159113101,0.14454454988509147,0.1093227483430373,0.1505858656762664
AVMD,IMF2,background_dynamic_mode,17.793810848400554,stable_10deg,energy_nm2,175,1.505319642672516,0.24468903382648693,1.499898860922222,0.1430185292436561,0.21203927145664453,1.1377721176413575,1.3511763185900212,1.6377658177747874,1.921992487531859,0.7247395293756462,2.2065198356127453
AVMD,IMF2,background_dynamic_mode,17.793810848400554,stable_10deg,envelope_mean_nm,175,0.0794620963960596,0.0067732142477949075,0.0797506556761497,0.004623087881599111,0.006854190093258842,0.0689513200534008,0.0750616176271809,0.08373566516325355,0.08905471596083518,0.0559662555684727,0.0956877621864994
AVMD,IMF2,background_dynamic_mode,17.793810848400554,stable_10deg,local_peak_frequency_hz,175,16.437142857142856,0.7124047483359159,16.5,0.5,0.7413,15.5,16.0,17.0,17.5,15.0,20.0
AVMD,IMF2,background_dynamic_mode,17.793810848400554,stable_10deg,rms_nm,175,0.061137901197255935,0.00505988572532059,0.061235179041998,0.0029161923347628058,0.004323546755519336,0.05333317328288087,0.0581200534183655,0.06398761039079176,0.0693179273420548,0.0425658175469368,0.0742717953804259
AVMD,IMF2,background_dynamic_mode,17.793810848400554,stable_43deg,energy_nm2,184,3.591988615787815,1.6292920045926582,3.649468269674771,1.5946644408804431,2.3642495000493446,1.455440607605088,1.9583502377930782,4.88871321133986,5.983819795694794,1.0827482638775243,7.856622784102406
AVMD,IMF2,background_dynamic_mode,17.793810848400554,stable_43deg,envelope_mean_nm,184,0.12129205879805197,0.03084546211209262,0.12364180542268699,0.028928210264404244,0.04288896453800573,0.07793023821061208,0.09058230824261712,0.1471533593047084,0.1638726560802661,0.0671881936887442,0.1937982729251463
AVMD,IMF2,background_dynamic_mode,17.793810848400554,stable_43deg,local_peak_frequency_hz,184,17.66576086956522,0.49142534678820377,18.0,0.0,0.0,17.0,17.5,18.0,18.0,15.5,18.5
AVMD,IMF2,background_dynamic_mode,17.793810848400554,stable_43deg,rms_nm,184,0.09213395858882122,0.022225884508146786,0.0955178930651545,0.020110028018787952,0.029815127540655018,0.060320537887497555,0.06997036463579184,0.11055209351995757,0.12230896340081696,0.0520275951750012,0.1401483391277114
AVMD,IMF3,background_dynamic_mode,39.90785813630041,stable_10deg,energy_nm2,175,0.29914736725157454,0.05042340181201014,0.2993682342773201,0.031177499457108848,0.04622376069510958,0.2237380083714057,0.26525735947820817,0.32624867231288746,0.3869295792965248,0.1631903412632969,0.4431739374172918
AVMD,IMF3,background_dynamic_mode,39.90785813630041,stable_10deg,envelope_mean_nm,175,0.034505589936655395,0.003026254193137206,0.0344542296169165,0.001973435950013397,0.002925816139489862,0.02969407208576031,0.03235661929293025,0.0363295392569091,0.03929711416078951,0.025881121848086,0.0431656907095574
AVMD,IMF3,background_dynamic_mode,39.90785813630041,stable_10deg,local_peak_frequency_hz,175,37.60857142857143,2.2159779539251807,36.5,1.5,2.2239,35.0,35.5,40.0,40.0,34.5,40.0
AVMD,IMF3,background_dynamic_mode,39.90785813630041,stable_10deg,rms_nm,175,0.027249941270041846,0.002310764177893795,0.0273572766497928,0.0014609115149775975,0.002165947412105786,0.02365005114871703,0.025751570800460748,0.028559090777200598,0.0311018316713701,0.0201984121444791,0.0332856552217802
AVMD,IMF3,background_dynamic_mode,39.90785813630041,stable_43deg,energy_nm2,184,0.41723129480256516,0.08864606066182952,0.4013199143673549,0.056173035337006294,0.08328214219064553,0.2791049735525648,0.3519920184952863,0.4769235702433583,0.5735733438559645,0.2420478539779933,0.6606792242350124
AVMD,IMF3,background_dynamic_mode,39.90785813630041,stable_43deg,envelope_mean_nm,184,0.04062576484998234,0.004234291777471126,0.04003919307125705,0.002606944674494901,0.0038650561744061397,0.033630319853840476,0.03767128919413833,0.043448821053536646,0.047872767849558545,0.0315793512705648,0.0519899218138188
AVMD,IMF3,background_dynamic_mode,39.90785813630041,stable_43deg,local_peak_frequency_hz,184,38.255434782608695,1.4607703731781885,38.0,1.0,1.4826,35.575,37.5,40.0,40.0,34.0,40.5
AVMD,IMF3,background_dynamic_mode,39.90785813630041,stable_43deg,rms_nm,184,0.03211822046115255,0.003400144532767761,0.03167488171911375,0.0021892658310739,0.003245805521150164,0.026415135797892692,0.029664457582465675,0.03452978963793175,0.03786729730443228,0.0245991795583711,0.04064108832927
AVMD,IMF4,background_dynamic_mode,54.08118915159944,stable_10deg,energy_nm2,175,0.1060865981994825,0.03501266084590193,0.1020457036719247,0.022243046820975,0.03297754121677753,0.05883468487275064,0.07981155408793605,0.1241669658378078,0.1730749555669148,0.047162732328705,0.2362676165731978
AVMD,IMF4,background_dynamic_mode,54.08118915159944,stable_10deg,envelope_mean_nm,175,0.020139052508606068,0.0033002788142763684,0.0197829146627227,0.0022648217362956982,0.003357824706232002,0.01535156865229407,0.01783282403980915,0.02243686339117625,0.026413540137524488,0.0137022522535093,0.0295096167303507
AVMD,IMF4,background_dynamic_mode,54.08118915159944,stable_10deg,local_peak_frequency_hz,175,53.19428571428571,1.301842826720799,53.5,0.5,0.7413,50.5,53.0,54.0,55.0,48.5,55.0
AVMD,IMF4,background_dynamic_mode,54.08118915159944,stable_10deg,rms_nm,175,0.016076030843901763,0.00261087729762839,0.0159722966156971,0.0018135609244083993,0.002688785426527893,0.01212788393287093,0.01412545740507695,0.017618664533371048,0.02080100864779468,0.0108584911853241,0.0243036837008918
AVMD,IMF4,background_dynamic_mode,54.08118915159944,stable_43deg,energy_nm2,184,0.17528528899232862,0.039643215508600727,0.1751821593961789,0.02667231570136215,0.039544375258839526,0.1142194578462824,0.1479125084076415,0.2004630917027083,0.24390222878822376,0.091308525803048,0.2959665201829876
AVMD,IMF4,background_dynamic_mode,54.08118915159944,stable_43deg,envelope_mean_nm,184,0.02631337009324839,0.0029552470308160245,0.02646549809121265,0.002070633261907699,0.0030699208741043547,0.022033999140475432,0.024132856083642174,0.028099640934371926,0.03109515427415779,0.0187932399396771,0.0345726442952318
AVMD,IMF4,background_dynamic_mode,54.08118915159944,stable_43deg,local_peak_frequency_hz,184,53.50271739130435,1.226413851882525,54.0,0.5,0.7413,50.5,53.5,54.0,54.5,48.5,55.5
AVMD,IMF4,background_dynamic_mode,54.08118915159944,stable_43deg,rms_nm,184,0.020799564346674366,0.002371054463683027,0.020927379361204097,0.0016037592078130998,0.0023777334015037017,0.016897902201773903,0.019229584315599273,0.022386508366308875,0.024693222402787995,0.0151086503205157,0.0272014025457782
AVMD,IMF5,background_dynamic_mode,59.97479137691238,stable_10deg,energy_nm2,175,0.1049906674860966,0.04103483050991126,0.0930175969281421,0.020680120871293298,0.030660347203779442,0.05890195613289945,0.0738929973918232,0.12080789865667925,0.18649251092796754,0.0449024187919002,0.2306798735838367
AVMD,IMF5,background_dynamic_mode,59.97479137691238,stable_10deg,envelope_mean_nm,175,0.020163101883803512,0.004165794394423192,0.018954466229272,0.0023934849061624,0.0035485807218763737,0.015211675661777951,0.016792436618542253,0.022260573800637652,0.02821463006635306,0.0133582801646007,0.031831385693636
AVMD,IMF5,background_dynamic_mode,59.97479137691238,stable_10deg,local_peak_frequency_hz,175,60.06,0.4492650447784361,60.0,0.0,0.0,60.0,60.0,60.0,60.0,58.5,62.5
AVMD,IMF5,background_dynamic_mode,59.97479137691238,stable_10deg,rms_nm,175,0.015926890351211143,0.00297682203429661,0.0152493931787581,0.0017980635153614002,0.002665808967874812,0.01213478293666523,0.0135916251680112,0.017378609585730148,0.02159237585008986,0.0105950954209837,0.0240145723251444
AVMD,IMF5,background_dynamic_mode,59.97479137691238,stable_43deg,energy_nm2,184,0.21821357601008518,0.06762747940752004,0.21723737284135505,0.05440312322304064,0.08065807049048004,0.1276315163546416,0.16145054914881313,0.2651479045227286,0.34979907673224125,0.0981524538421349,0.3867095189105801
AVMD,IMF5,background_dynamic_mode,59.97479137691238,stable_43deg,envelope_mean_nm,184,0.02971535972319724,0.004650185459490076,0.02972354710072815,0.00362976833866485,0.005381494538904506,0.02242490600847758,0.026082672266998425,0.03330185791410002,0.03806912801494808,0.0197856249822415,0.0406248852712166
AVMD,IMF5,background_dynamic_mode,59.97479137691238,stable_43deg,local_peak_frequency_hz,184,60.046195652173914,0.658518526721639,60.0,0.0,0.0,59.575,60.0,60.0,61.0,57.5,64.0
AVMD,IMF5,background_dynamic_mode,59.97479137691238,stable_43deg,rms_nm,184,0.02307861483362735,0.0036030586877711214,0.02330428478090995,0.002861584782795098,0.004242585598972013,0.017862752711646373,0.020090447729215977,0.02574622818904465,0.02957180641269211,0.0156646460095763,0.0310929863036095
AVMD,IMF6,background_dynamic_mode,80.04607093184978,stable_10deg,energy_nm2,175,0.737776411958884,0.11493085608836529,0.7307181628992754,0.06344934528971191,0.09406999932652688,0.5588212500865776,0.6712302931300456,0.8047441583394064,0.925103412229657,0.3624626785011736,1.040840124040218
AVMD,IMF6,background_dynamic_mode,80.04607093184978,stable_10deg,envelope_mean_nm,175,0.05905876216589547,0.004893484115027624,0.0591567665979434,0.002679544416551001,0.003972692551978514,0.05110463675782974,0.056547210058366604,0.0619378852625411,0.06655184640778813,0.0413431456130359,0.0711041499920332
AVMD,IMF6,background_dynamic_mode,80.04607093184978,stable_10deg,local_peak_frequency_hz,175,80.0,0.0,80.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0
AVMD,IMF6,background_dynamic_mode,80.04607093184978,stable_10deg,rms_nm,175,0.042811116022631344,0.0034229118048605387,0.0427410272133016,0.001892498956172002,0.00280581895242061,0.03737513195896288,0.040964320351083994,0.04485367127841225,0.04809110509160621,0.0301024367162018,0.0510107862133151
AVMD,IMF6,background_dynamic_mode,80.04607093184978,stable_43deg,energy_nm2,184,0.8347114853465543,0.11033883132738717,0.8372989487224833,0.08438784083693901,0.12511341282484578,0.6584637787650259,0.7507340026611169,0.9106039986411179,1.0182452104417061,0.6013887507232457,1.1338531653862152
AVMD,IMF6,background_dynamic_mode,80.04607093184978,stable_43deg,envelope_mean_nm,184,0.06171112287431593,0.004814634892241341,0.0620472474933839,0.003315090399281302,0.004914953025974458,0.05390900622467121,0.05801291736501525,0.06497682118555435,0.07021442107032982,0.0520588250185976,0.0742942051683217
AVMD,IMF6,background_dynamic_mode,80.04607093184978,stable_43deg,local_peak_frequency_hz,184,80.0,0.0,80.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0
AVMD,IMF6,background_dynamic_mode,80.04607093184978,stable_43deg,rms_nm,184,0.04558149187645001,0.0030259003535365162,0.0457520133889857,0.0022693655238354496,0.0033645613256384375,0.04057288366837522,0.04332241581487918,0.047712785105585874,0.050454040253661216,0.0387746292929811,0.0532412707724518
AVMD,IMF7,background_dynamic_mode,90.29468011126563,stable_10deg,energy_nm2,175,0.2570124966165506,0.08098423411611748,0.2683946633421767,0.06033545599563617,0.08945334705913018,0.1356888588961933,0.18412717263049175,0.31520251573596675,0.384568162224163,0.1123541494409998,0.4426324227613582
AVMD,IMF7,background_dynamic_mode,90.29468011126563,stable_10deg,envelope_mean_nm,175,0.03242850538900531,0.00574777960656234,0.0334107128691934,0.004091007195604797,0.006065327268203672,0.02307708217367415,0.0279461120533141,0.036613869806506855,0.04105923615583885,0.0210807311244158,0.0451129450319392
AVMD,IMF7,background_dynamic_mode,90.29468011126563,stable_10deg,local_peak_frequency_hz,175,90.38285714285715,0.48154786007572903,90.5,0.5,0.7413,90.0,90.0,90.5,91.0,88.5,92.0
AVMD,IMF7,background_dynamic_mode,90.29468011126563,stable_10deg,rms_nm,175,0.025015538269541397,0.004104920764236375,0.0259034101684593,0.0028563973304360987,0.00423489468210456,0.01841798186834374,0.021455020506787797,0.0280714381846092,0.03100677981268469,0.0167596352467021,0.0332653131189741
AVMD,IMF7,background_dynamic_mode,90.29468011126563,stable_43deg,energy_nm2,184,0.15897674926924765,0.0312509961435924,0.15802822641643094,0.021168361925731308,0.03138421339108924,0.10885650888352433,0.1378557892087224,0.18317593452203407,0.21158471004021392,0.0975198127247503,0.2401352508270235
AVMD,IMF7,background_dynamic_mode,90.29468011126563,stable_43deg,envelope_mean_nm,184,0.025207279542051115,0.002475285281645757,0.02537107092084255,0.00158247352587715,0.0023461752494654624,0.02081012591990858,0.023817563230758274,0.0269517422235682,0.029141646319382177,0.0188381766025238,0.0307523613293738
AVMD,IMF7,background_dynamic_mode,90.29468011126563,stable_43deg,local_peak_frequency_hz,184,92.05978260869566,1.7310131454901851,92.0,0.5,0.7413,90.0,91.5,92.5,95.85,86.5,100.0
AVMD,IMF7,background_dynamic_mode,90.29468011126563,stable_43deg,rms_nm,184,0.019838297585990157,0.0019761187044800045,0.0198763820306994,0.001344000885773848,0.001992615713248307,0.016496676212436046,0.018564467928969874,0.0213995233733888,0.02299916546029649,0.0156140812029358,0.0245017984455745
IOVMD,IMF1,angle_position_mode,0.008692628650904,stable_10deg,energy_nm2,175,5.644220772285779,0.789279925353016,5.539103441029812,0.5455595858117475,0.8088466419244967,4.389997710732654,5.123152658351497,6.186169780274767,6.918579153600072,4.080738717123469,7.5708996138198525
IOVMD,IMF1,angle_position_mode,0.008692628650904,stable_10deg,envelope_mean_nm,175,0.14214488300910294,0.024887429114089445,0.1356711797738505,0.01497743241200472,0.0222055412940382,0.1155828059016003,0.12228921654489765,0.15517561898602875,0.18431034502700464,0.1087059972073521,0.2402309908930813
IOVMD,IMF1,angle_position_mode,0.008692628650904,stable_10deg,local_peak_frequency_hz,0,,,,,,,,,,,
IOVMD,IMF1,angle_position_mode,0.008692628650904,stable_10deg,rms_nm,175,0.11849993501698439,0.008289147123071786,0.117676499788932,0.005744713998626999,0.008517112974364388,0.10476124355800055,0.11317190953005225,0.12435993696798905,0.13151595219335974,0.1010041919566147,0.1375763389342427
IOVMD,IMF1,angle_position_mode,0.008692628650904,stable_43deg,energy_nm2,184,6.5847227333932805,0.8104545876797753,6.443774418757493,0.48348745700772167,0.7168185037596481,5.5053671900662025,6.074015243423327,7.083890598861398,8.17199910743715,4.624132412908379,8.85325102888833
IOVMD,IMF1,angle_position_mode,0.008692628650904,stable_43deg,envelope_mean_nm,184,0.14814308664157003,0.027893620002865962,0.1396333324624336,0.011775119312253446,0.017457791892346957,0.11805499426825757,0.12956597589990831,0.15510261642834458,0.20570609991769426,0.1075685645820843,0.2430755923489425
IOVMD,IMF1,angle_position_mode,0.008692628650904,stable_43deg,local_peak_frequency_hz,0,,,,,,,,,,,
IOVMD,IMF1,angle_position_mode,0.008692628650904,stable_43deg,rms_nm,184,0.1280669747262399,0.00780949908594787,0.12692295193410108,0.0047275141981741944,0.00700901255021306,0.11731758874491532,0.1232275688674454,0.1330778118850411,0.14293354297778124,0.1075189798699324,0.1487720658330078
IOVMD,IMF2,background_dynamic_mode,5.4242002781641165,stable_10deg,energy_nm2,175,0.13666992708034334,0.07550812167163497,0.1178839940923829,0.026866172873098892,0.03983178790165642,0.06933201551803361,0.09545651988798945,0.15326071752836934,0.2343799338981827,0.0495815879776002,0.5766013439697183
