method,mode,physical_role_candidate,global_peak_frequency_hz,stable_10deg_median_rms_nm,stable_43deg_median_rms_nm,rms_ratio_43_to_10,state_contrast_ratio
AVMD,IMF1,angle_position_mode,0.008692628650904,0.1194219287788574,0.12918220876390016,1.0817293782209514,1.0817293782209514
AVMD,IMF2,background_dynamic_mode,17.793810848400554,0.061235179041998,0.0955178930651545,1.5598532503619167,1.5598532503619167
AVMD,IMF3,background_dynamic_mode,39.90785813630041,0.0273572766497928,0.03167488171911375,1.157822912148445,1.157822912148445
AVMD,IMF4,background_dynamic_mode,54.08118915159944,0.0159722966156971,0.020927379361204097,1.3102298225940336,1.3102298225940336
AVMD,IMF5,background_dynamic_mode,59.97479137691238,0.0152493931787581,0.02330428478090995,1.528210631579232,1.528210631579232
AVMD,IMF6,background_dynamic_mode,80.04607093184978,0.0427410272133016,0.0457520133889857,1.070447211309583,1.070447211309583
AVMD,IMF7,background_dynamic_mode,90.29468011126563,0.0259034101684593,0.0198763820306994,0.7673268462119873,1.303225613617763
IOVMD,IMF1,angle_position_mode,0.008692628650904,0.117676499788932,0.12692295193410108,1.078575179936128,1.078575179936128
IOVMD,IMF2,background_dynamic_mode,5.4242002781641165,0.0171671193049666,0.0213848516266619,1.2456866668640831,1.2456866668640831
IOVMD,IMF3,background_dynamic_mode,15.946627260083448,0.0418752051717778,0.01797555412790695,0.4292648610118751,2.3295640776251103
IOVMD,IMF4,background_dynamic_mode,17.793810848400554,0.0218451601250135,0.08223854843429784,3.76461183912915,3.76461183912915
IOVMD,IMF5,background_dynamic_mode,20.07127955493741,0.0272514925109814,0.031380247242415,1.1515056369763914,1.1515056369763914
IOVMD,IMF6,angle_movement_response_candidate,35.626738525730175,0.0188169470907828,0.018033125675401253,0.9583449211181824,1.0434656436987375
IOVMD,IMF7,background_dynamic_mode,39.90785813630041,0.0191268736951242,0.022269072992631,1.1642819076233981,1.1642819076233981
IOVMD,IMF8,background_dynamic_mode,59.97479137691238,0.0141356154573473,0.02243414159245485,1.5870650740427583,1.5870650740427583
IOVMD,IMF9,background_dynamic_mode,72.63125869262865,0.0121599250748239,0.0148084327303828,1.2178062479219063,1.2178062479219063
IOVMD,IMF10,background_dynamic_mode,80.04607093184978,0.0418563493233239,0.0436029065405938,1.0417274140125894,1.0417274140125894
IOVMD,IMF11,background_dynamic_mode,90.29468011126563,0.0244830632187765,0.01596949967328645,0.6522672236960592,1.5331139810053922
STVMD,IMF1,angle_position_mode,0.008692628650904,0.1171036288928551,0.12577394866213015,1.0740397189331172,1.0740397189331172
STVMD,IMF2,background_dynamic_mode,2.1905424200278163,0.024530454382991,0.026360325735634148,1.0745959012447788,1.0745959012447788
STVMD,IMF3,background_dynamic_mode,17.793810848400554,0.0529968400929365,0.08759756565793345,1.6528828040373784,1.6528828040373784
STVMD,IMF4,background_dynamic_mode,20.07127955493741,0.0289342360284576,0.031507154161159845,1.0889229675935357,1.0889229675935357
STVMD,IMF5,background_dynamic_mode,39.90785813630041,0.0233649680308619,0.02747221311308495,1.1757864627419112,1.1757864627419112
STVMD,IMF7,background_dynamic_mode,59.94871349095966,0.012683442457413,0.01467183615681565,1.1567708219656492,1.1567708219656492
STVMD,IMF6,background_dynamic_mode,59.97479137691238,0.014641087478987,0.023084985415452598,1.5767261447337395,1.5767261447337395
STVMD,IMF8,background_dynamic_mode,80.04607093184978,0.0418645197019156,0.043547498631369655,1.0402006028359392,1.0402006028359392
STVMD,IMF9,background_dynamic_mode,90.49461057023645,0.0239392166023361,0.01422011526614465,0.5940092151869742,1.6834755664274221
STVMD,IMF10,background_dynamic_mode,97.83988178025034,0.0081112981531508,0.01223652824528585,1.508578283555342,1.508578283555342
SVMD,IMF1,angle_position_mode,0.008692628650904,0.1195950271565907,0.12899038674555569,1.0785597847363941,1.0785597847363941
SVMD,IMF2,background_dynamic_mode,8.344923504867872,0.010824329594522,0.01395330829689495,1.2890690527343578,1.2890690527343578
SVMD,IMF3,background_dynamic_mode,17.793810848400554,0.0613862828592287,0.09425248267420686,1.5353997389017195,1.5353997389017195
SVMD,IMF4,background_dynamic_mode,29.263734353268426,0.0097540801968336,0.0142358569450116,1.4594771272880132,1.4594771272880132
SVMD,IMF5,angle_movement_response_candidate,39.90785813630041,0.0281658340712846,0.03195172927736355,1.1344144539266001,1.1344144539266001
SVMD,IMF6,background_dynamic_mode,46.31867176634214,0.0082375598331999,0.0110136158228451,1.336999796767101,1.336999796767101
SVMD,IMF7,background_dynamic_mode,59.97479137691238,0.0189860184636993,0.028555895820384397,1.504048670077005,1.504048670077005
SVMD,IMF8,background_dynamic_mode,72.63125869262865,0.0109523459139617,0.013997021708344149,1.2779930270921405,1.2779930270921405
SVMD,IMF9,background_dynamic_mode,80.04607093184978,0.0426603970011485,0.0458960828206524,1.0758475318318483,1.0758475318318483
SVMD,IMF10,background_dynamic_mode,90.29468011126563,0.0230536435557198,0.017313592112048498,0.7510132647883703,1.3315344040984314
VMD,IMF1,angle_position_mode,0.008692628650904,0.1183881624244209,0.12786313461997634,1.0800331046746694,1.0800331046746694
VMD,IMF2,background_dynamic_mode,16.18567454798331,0.047112256324045,0.02616135093920505,0.5552981958508514,1.800834231899057
VMD,IMF3,background_dynamic_mode,17.793810848400554,0.0287875582124805,0.08149048495033576,2.830753631442299,2.830753631442299
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,0.0185039154066154,0.017809666013510903,0.9624809464457293,1.0389816065375859
VMD,IMF5,background_dynamic_mode,39.90785813630041,0.0192954704508028,0.022487511050668048,1.165429529588507,1.165429529588507
VMD,IMF6,background_dynamic_mode,54.08118915159944,0.0136114864101764,0.01829571534926595,1.3441379433466916,1.3441379433466916
VMD,IMF7,background_dynamic_mode,59.97479137691238,0.0131488867662957,0.020541810716871202,1.5622471378737284,1.5622471378737284
VMD,IMF8,background_dynamic_mode,72.63125869262865,0.0120293024249673,0.01476647828477895,1.2275423597407056,1.2275423597407056
VMD,IMF9,background_dynamic_mode,80.04607093184978,0.041823253094318,0.043520243726716756,1.0405752902236411,1.0405752902236411
VMD,IMF10,background_dynamic_mode,90.29468011126563,0.0244716011078071,0.0159459851271479,0.6516118441494496,1.5346559596461944
