time_s,raw_ch1_nm,angle_component_nm,estimated_angle_deg,angle_velocity_deg_s,state_label
0.0,1549.911366,1549.8512167947097,17.960916257447977,-3.6675182182925425,stable_10deg
0.005,1549.821223,1549.8513522435999,17.942578666356514,-3.667355506982517,stable_10deg
0.01,1549.943016,1549.8514876804716,17.92424270237815,-3.667022662648378,stable_10deg
0.015,1549.92138,1549.8516231047765,17.90590843973003,-3.666674968729211,stable_10deg
0.02,1550.031968,1549.8517585159661,17.88757595269086,-3.6663124221465893,stable_10deg
0.025,1550.047997,1549.851893913492,17.869245315508564,-3.6659350290573656,stable_10deg
0.03,1549.859682,1549.8520292968058,17.850916602400286,-3.665542798696464,stable_10deg
0.035,1550.020748,1549.8521646653599,17.8325898875216,-3.665135731063529,stable_10deg
0.04,1550.020748,1549.852300018606,17.81426524508965,-3.6647138292369874,stable_10deg
0.045,1549.893335,1549.8524353559967,17.79594274922923,-3.664277102451763,stable_10deg
0.05,1549.803597,1549.8525706769844,17.777622474065133,-3.6638255507078554,stable_10deg
0.055,1549.870098,1549.8527059810217,17.75930449372215,-3.6633591801617627,stable_10deg
0.06,1549.830037,1549.8528412675614,17.740988882263515,-3.6628779969703373,stable_10deg
0.065,1549.816416,1549.8529765360565,17.722675713752448,-3.6623820072893665,stable_10deg
0.07,1549.942214,1549.8531117859604,17.70436506219062,-3.661871217275703,stable_10deg
0.075,1550.040784,1549.8532470167265,17.68605700157969,-3.6613456238516306,stable_10deg
0.08,1550.000713,1549.853382227808,17.667751605952105,-3.660805233172937,stable_10deg
0.085,1549.717074,1549.8535174186586,17.64944894924796,-3.6602500544745453,stable_10deg
0.09,1550.001515,1549.8536525887323,17.63114910540736,-3.659680090835593,stable_10deg
0.095,1549.95183,1549.8537877374831,17.612852148339606,-3.6590953422553696,stable_10deg
0.1,1550.005522,1549.853922864365,17.594558151984806,-3.6584958118112354,stable_10deg
0.105,1549.815615,1549.854057968832,17.576267190221493,-3.657881511817962,stable_10deg
0.11,1549.741908,1549.854193050339,17.557979336866627,-3.657252451510118,stable_10deg
0.115,1549.895739,1549.8543281083412,17.539694665706392,-3.656608637043135,stable_10deg
0.12,1549.916572,1549.8544631422935,17.521413250496195,-3.65595007149615,stable_10deg
0.125,1549.959844,1549.8545981516513,17.50313516499143,-3.6552767548691634,stable_10deg
0.13,1550.003118,1549.8547331358698,17.484860482947504,-3.6545887025528856,stable_10deg
0.135,1549.999111,1549.8548680944052,17.4665892779659,-3.6538859268610224,stable_10deg
0.14,1549.900546,1549.8550030267138,17.448321623678893,-3.6531684247151475,stable_10deg
0.145,1550.157,1549.8551379322516,17.43005759371875,-3.652436202271403,stable_10deg
0.15,1549.91497,1549.8552728104753,17.41179726165618,-3.6516892687654234,stable_10deg
0.155,1550.166619,1549.8554076608416,17.393540701031096,-3.6509276303537064,stable_10deg
0.16,1549.880515,1549.8555424828076,17.375287985352642,-3.6501512962697547,stable_10deg
0.165,1550.015139,1549.8556772758307,17.3570391880684,-3.6493602788279844,stable_10deg
0.17,1549.907758,1549.8558120393689,17.338794382564362,-3.648554584184893,stable_10deg
0.175,1549.935002,1549.85594677288,17.32055364222655,-3.6477342154178416,stable_10deg
0.18,1550.062423,1549.8560814758225,17.302317040410184,-3.6468991756059665,stable_10deg
0.185,1549.787573,1549.8562161476543,17.28408465047049,-3.646049480139979,stable_10deg
0.19,1549.92138,1549.8563507878348,17.265856545608784,-3.6451851413335845,stable_10deg
0.195,1549.89013,1549.856485395823,17.247632799057154,-3.644306156108712,stable_10deg
0.2,1550.12013,1549.856619971078,17.229413484047697,-3.6434125336988643,stable_10deg
0.205,1550.025557,1549.8567545130597,17.211198673720165,-3.6425042894961734,stable_10deg
0.21,1549.988693,1549.8568890212282,17.192988441152735,-3.6415814296578475,stable_10deg
0.215,1549.955837,1549.8570234950437,17.174782859423587,-3.6406439603396734,stable_10deg
0.22,1549.991097,1549.8571579339668,17.15658200154934,-3.6396918876981488,stable_10deg
0.225,1549.927791,1549.8572923374584,17.138385940546605,-3.638725224046624,stable_10deg
0.23,1550.031167,1549.8574267049798,17.120194749308872,-3.637743984776165,stable_10deg
0.235,1549.899745,1549.857561035993,17.102008500698844,-3.6367481729655537,stable_10deg
0.24,1549.874104,1549.8576953299598,17.083827267579217,-3.635737794771643,stable_10deg
0.245,1549.979076,1549.8578295863424,17.065651122751127,-3.634712865584433,stable_10deg
0.25,1549.862086,1549.8579638046037,17.047480138923373,-3.6336733977176294,stable_10deg
0.255,1550.08807,1549.858097984207,17.02931438877395,-3.6326193973284404,stable_10deg
0.26,1549.834844,1549.8582321246156,17.011153944950088,-3.6315508767291504,stable_10deg
0.265,1550.057614,1549.8583662252936,16.99299888000666,-3.630467848233465,stable_10deg
0.27,1549.971864,1549.8585002857053,16.974849266467753,-3.6293703149191003,stable_10deg
0.275,1550.026358,1549.858634305315,16.95670517685747,-3.628258282942909,stable_10deg
0.28,1550.034373,1549.8587682835876,16.938566683638324,-3.627131767696312,stable_10deg
0.285,1549.841254,1549.8589022199883,16.920433859180505,-3.625990784570021,stable_10deg
0.29,1550.02716,1549.8590361139832,16.902306775792624,-3.6248353397215993,stable_10deg
0.295,1549.955036,1549.859169965038,16.88418550578329,-3.6236654454636863,stable_10deg
0.3,1549.904553,1549.8593037726198,16.866070121337987,-3.6224811171873483,stable_10deg
0.305,1549.790778,1549.8594375361954,16.847960694611416,-3.6212823672059358,stable_10deg
0.31,1549.748317,1549.8595712552326,16.829857297665928,-3.6200692078324437,stable_10deg
0.315,1549.854073,1549.8597049291993,16.81176000253309,-3.618841635988801,stable_10deg
0.32,1550.026358,1549.859838557563,16.79366888130604,-3.6175996639880026,stable_10deg
0.325,1549.982282,1549.8599721397927,16.77558400589321,-3.6163433133776124,stable_10deg
0.33,1550.152992,1549.8601056753573,16.757505448172264,-3.615072596471336,stable_10deg
0.335,1549.976672,1549.8602391637266,16.739433279928498,-3.6137875286602394,stable_10deg
0.34,1549.983083,1549.860372604371,16.72136757288566,-3.612488119179247,stable_10deg
0.345,1550.039181,1549.8605059967606,16.703308398736706,-3.611174377262927,stable_10deg
0.35,1549.860483,1549.8606393403666,16.685255829113032,-3.609846309067777,stable_10deg
0.355,1549.881316,1549.8607726346597,16.667209935646028,-3.6085039299852184,stable_10deg
0.36,1549.662601,1549.8609058791121,16.64917078981318,-3.607147261563526,stable_10deg
0.365,1549.843657,1549.8610390731963,16.631138463030393,-3.6057763099591966,stable_10deg
0.37,1549.756329,1549.8611722163846,16.613113026713588,-3.604391084406444,stable_10deg
0.375,1549.935002,1549.8613053081503,16.59509455218633,-3.6029916002970452,stable_10deg
0.38,1550.035975,1549.8614383479671,16.577083110710618,-3.6015778730224213,stable_10deg
0.385,1549.970261,1549.8615713353092,16.559078773456104,-3.6001499179739938,stable_10deg
0.39,1550.065629,1549.8617042696515,16.541081611530878,-3.5987077474647577,stable_10deg
0.395,1549.935804,1549.861837150469,16.523091695981456,-3.597251370729282,stable_10deg
0.4,1550.012734,1549.8619699772373,16.505109097823585,-3.5957808031589877,stable_10deg
0.405,1549.989494,1549.8621027494328,16.487133887949867,-3.594296060145652,stable_10deg
0.41,1549.854073,1549.862235466532,16.46916613722213,-3.5927971540019144,stable_10deg
0.415,1549.783568,1549.8623681280121,16.451205916409847,-3.5912841001195517,stable_10deg
0.42,1549.773153,1549.862500733351,16.433253296220933,-3.5897569077331326,stable_10deg
0.425,1549.795585,1549.8626332820265,16.415308347332516,-3.5882155953117945,stable_10deg
0.43,1549.971864,1549.8627657735178,16.397371140267815,-3.5866601813260957,stable_10deg
0.435,1549.834844,1549.8628982073042,16.379441745519255,-3.585090681166747,stable_10deg
0.44,1549.96946,1549.8630305828658,16.361520233456147,-3.5835071102255256,stable_10deg
0.445,1549.990296,1549.8631628996832,16.343606674417,-3.581909477737355,stable_10deg
0.45,1549.943817,1549.8632951572372,16.325701138678774,-3.5802977960141646,stable_10deg
0.455,1550.071239,1549.8634273550092,16.30780369645686,-3.578672071213873,stable_10deg
0.46,1549.860483,1549.8635594924806,16.289914417966635,-3.577032324884044,stable_10deg
0.465,1550.022351,1549.8636915691343,16.272033373208018,-3.5753785847283837,stable_10deg
0.47,1549.822024,1549.8638235844537,16.25416063211935,-3.5737108599828815,stable_10deg
0.475,1549.919777,1549.8639555379225,16.23629626460819,-3.572029159881751,stable_10deg
0.48,1550.069636,1549.8640874290247,16.218440340520534,-3.5703335028937744,stable_10deg
0.485,1549.927791,1549.8642192572454,16.20059292957925,-3.568623913646718,stable_10deg
0.49,1549.918976,1549.8643510220704,16.182754101384067,-3.5669004044532215,stable_10deg
0.495,1549.977474,1549.8644827229857,16.16492392553472,-3.5651629876255697,stable_10deg
0.5,1549.967857,1549.864614359478,16.14710247150781,-3.563411678555539,stable_10deg
0.505,1549.91497,1549.8647459310346,16.129289808749164,-3.561646486478054,stable_10deg
0.51,1549.898143,1549.8648774371427,16.11148600664303,-3.559867432941388,stable_10deg
0.515,1549.937406,1549.865008877291,16.09369113441975,-3.5580745364146793,stable_10deg
0.52,1549.997508,1549.8651402509686,16.075905261278884,-3.5562678122893487,stable_10deg
0.525,1549.940612,1549.865271557665,16.058128456296856,-3.5544472821129602,stable_10deg
0.53,1550.080055,1549.8654027968707,16.040360788457754,-3.552612961277646,stable_10deg
0.535,1549.966255,1549.8655339680768,16.02260232668408,-3.550764865174827,stable_10deg
0.54,1549.95183,1549.8656650707746,16.004853139806006,-3.5489030153513568,stable_10deg
0.545,1549.877309,1549.8657961044569,15.987113296530566,-3.547027421042692,stable_10deg
0.55,1549.810808,1549.8659270686157,15.969382865595579,-3.5451380976404323,stable_10deg
0.555,1549.916572,1549.866057962745,15.951661915554162,-3.543235066692141,stable_10deg
0.56,1549.693041,1549.8661887863382,15.933950514928657,-3.541318343588884,stable_10deg
0.565,1549.862887,1549.8663195388904,15.916248732118273,-3.5393879468010425,stable_10deg
0.57,1549.834844,1549.8664502198967,15.898556635460647,-3.537443894798109,stable_10deg
0.575,1549.960645,1549.8665808288533,15.880874293170292,-3.535486212205896,stable_10deg
0.58,1550.023954,1549.8667113652573,15.863201773338588,-3.53351491441547,stable_10deg
0.585,1549.904553,1549.8668418286059,15.845539144026137,-3.531530013740536,stable_10deg
0.59,1550.015139,1549.866972218397,15.827886473201183,-3.529531531729191,stable_10deg
0.595,1549.898944,1549.8671025341296,15.810243828708845,-3.5275194899286433,stable_10deg
0.6,1549.870899,1549.8672327753031,15.792611278301896,-3.525493900652421,stable_10deg
0.605,1549.854073,1549.8673629414175,15.774988889702321,-3.523454776213164,stable_10deg
