physical_episode_id,cluster_count,consensus_cluster_ids,episode_start_time_s,episode_end_time_s,episode_duration_s,representative_time_s,angle_state_labels,response_frequency_bands_hz,supporting_methods,maximum_method_count,maximum_anomaly_score,angle_context_start_time_s,angle_context_end_time_s,angle_start_deg,angle_end_deg,angle_minimum_deg,angle_maximum_deg,angle_range_deg,peak_absolute_angle_velocity_deg_s,episode_overlaps_moving_state,representative_time_near_moving_state,classification_basis,episode_classification,interpretation
E001,2,"C008,C011",18.0,23.495,5.495000000000001,20.0,stable_10deg,"17.50,48.50","AVMD,IOVMD,STVMD,VMD",2,6.7449075947659525,15.0,26.495,10.0,10.0,10.0,10.884450660082525,0.8844506600825248,0.6045936409023511,False,False,representative_time_and_episode_are_stable,stable_state_anomaly_candidate,modal change occurs within a tracked stable-angle interval; requires independent validation
E002,4,"C026,C027,C030,C029",69.5,85.495,15.995000000000005,80.25,stable_43deg,"16.00,36.00,89.00,96.00","AVMD,IOVMD,STVMD,SVMD,VMD",4,8.093889113719143,66.5,88.495,43.0,36.71976463509765,36.71976463509765,43.0,6.280235364902353,4.510663450256658,False,False,representative_time_and_episode_are_stable,stable_state_anomaly_candidate,modal change occurs within a tracked stable-angle interval; requires independent validation
E003,3,"C035,C036,C037",94.5,105.495,10.995000000000005,97.0,stable_10deg,"3.50,35.00,80.00","AVMD,IOVMD,STVMD,SVMD,VMD",5,6.796869772603942,91.5,108.495,22.069107338133776,10.0,10.0,22.069107338133776,12.069107338133776,4.457955965978755,False,True,representative_time_near_moving_state,angle_associated_dynamic_response,modal change overlaps or is adjacent to tracked angle movement; not an independent fault
E004,2,"C039,C040",108.0,113.995,5.9950000000000045,110.875,stable_10deg,"17.50,36.50","IOVMD,STVMD,SVMD,VMD",2,4.122332191642026,105.0,116.995,10.0,10.0,10.0,10.343082070903463,0.34308207090346343,0.2823388274768135,False,False,representative_time_and_episode_are_stable,stable_state_anomaly_candidate,modal change occurs within a tracked stable-angle interval; requires independent validation
E005,1,C053,167.0,169.495,2.4950000000000045,168.0,stable_43deg,32.50,"IOVMD,VMD",2,4.046944556859572,164.0,172.495,42.86880830538897,42.37708093192189,42.37708093192189,43.0,0.6229190680781116,0.3191795825927102,False,False,representative_time_and_episode_are_stable,stable_state_anomaly_candidate,modal change occurs within a tracked stable-angle interval; requires independent validation
E006,4,"C056,C062,C065,C068",196.5,229.995,33.495000000000005,216.75,stable_10deg,"35.00,38.50,60.00,69.00","AVMD,IOVMD,STVMD,SVMD,VMD",3,6.7449075947659525,193.5,230.075,16.58168365027319,10.0,10.0,16.58168365027319,6.581683650273192,1.2224423001997664,False,False,representative_time_and_episode_are_stable,stable_state_anomaly_candidate,modal change occurs within a tracked stable-angle interval; requires independent validation
