segment_id,angle_state_label,cycle_index_within_state,target_frequency_hz,window_start_time_s,window_end_time_s,center_time_s,band_power_nm2,band_rms_nm,local_peak_frequency_hz
10deg_1,stable_10deg,1,38.5,5.0,6.995,5.9975000000000005,0.00028009041892444395,0.01673590209473167,39.84375
10deg_1,stable_10deg,1,60.0,5.0,6.995,5.9975000000000005,0.00011964726199827532,0.010938339087735182,60.15625
10deg_1,stable_10deg,1,38.5,5.5,7.495,6.4975000000000005,0.00017868771706436854,0.013367412504459063,39.84375
10deg_1,stable_10deg,1,60.0,5.5,7.495,6.4975000000000005,8.863402765916405e-05,0.009414564655849151,60.15625
10deg_1,stable_10deg,1,38.5,6.0,7.995,6.9975000000000005,0.0001697327329705128,0.013028151556169156,39.84375
10deg_1,stable_10deg,1,60.0,6.0,7.995,6.9975000000000005,6.014123533951512e-05,0.007755078035681854,60.15625
10deg_1,stable_10deg,1,38.5,6.5,8.495,7.4975,0.0002448652961307553,0.01564817229361804,39.84375
10deg_1,stable_10deg,1,60.0,6.5,8.495,7.4975,7.31898573832222e-05,0.00855510709361503,60.15625
10deg_1,stable_10deg,1,38.5,7.0,8.995,7.9975,0.0003298656862744749,0.018162204884718015,39.84375
10deg_1,stable_10deg,1,60.0,7.0,8.995,7.9975,6.198631369865806e-05,0.00787313874504051,64.0625
10deg_1,stable_10deg,1,38.5,7.5,9.495,8.497499999999999,0.0003707028630045596,0.019253645447149994,39.84375
10deg_1,stable_10deg,1,60.0,7.5,9.495,8.497499999999999,6.340197054208989e-05,0.00796253543427531,60.15625
10deg_1,stable_10deg,1,38.5,8.0,9.995,8.997499999999999,0.00040666652897415276,0.02016597453569137,39.84375
10deg_1,stable_10deg,1,60.0,8.0,9.995,8.997499999999999,9.307079947400561e-05,0.009647320844359101,60.15625
10deg_1,stable_10deg,1,38.5,8.5,10.495,9.497499999999999,0.00036799442910018275,0.01918318089108745,39.84375
10deg_1,stable_10deg,1,60.0,8.5,10.495,9.497499999999999,0.00012232178750035724,0.01105991806029128,60.15625
10deg_1,stable_10deg,1,38.5,9.0,10.995,9.997499999999999,0.00029952593756964944,0.017306817661535856,39.84375
10deg_1,stable_10deg,1,60.0,9.0,10.995,9.997499999999999,0.0001540276226379869,0.012410786543889428,60.15625
10deg_1,stable_10deg,1,38.5,9.5,11.495,10.497499999999999,0.00017919706687269502,0.01338645086916973,39.84375
10deg_1,stable_10deg,1,60.0,9.5,11.495,10.497499999999999,0.0001479208416895521,0.012162271238940205,60.15625
10deg_1,stable_10deg,1,38.5,10.0,11.995,10.997499999999999,0.00035423969902064313,0.018821256573901837,39.84375
10deg_1,stable_10deg,1,60.0,10.0,11.995,10.997499999999999,0.00015065843352376451,0.012274299716226768,60.15625
10deg_1,stable_10deg,1,38.5,10.5,12.495,11.497499999999999,0.0003765384680927172,0.019404599147952457,39.84375
