mode,event_id,direction,start_time_s,end_time_s,duration_s,event_rms_nm,event_energy_nm2
IMF1,1,10_to_43,31.015,37.76,6.744999999999997,0.059156842265851314,4.724368182270197
IMF1,2,43_to_10,87.79,94.25,6.459999999999994,0.06719857710084692,5.8387338523413606
IMF1,3,10_to_43,131.24,137.695,6.454999999999984,0.06448521748148728,5.372579509536049
IMF1,4,43_to_10,183.66,196.315,12.655,0.0613297345391673,9.523703609448457
IMF2,1,10_to_43,31.015,37.76,6.744999999999997,0.014443588034658896,0.28163326767517116
IMF2,2,43_to_10,87.79,94.25,6.459999999999994,0.017512615647113934,0.39655237689697687
IMF2,3,10_to_43,131.24,137.695,6.454999999999984,0.015571657421049148,0.3132796571713614
IMF2,4,43_to_10,183.66,196.315,12.655,0.01638045446830809,0.6793844387056123
IMF3,1,10_to_43,31.015,37.76,6.744999999999997,0.04092004589926872,2.2605077111376493
IMF3,2,43_to_10,87.79,94.25,6.459999999999994,0.024138830835794982,0.7534093182760306
IMF3,3,10_to_43,131.24,137.695,6.454999999999984,0.022252816323795582,0.6397826819680333
IMF3,4,43_to_10,183.66,196.315,12.655,0.03218063879432294,2.6221227754494483
IMF4,1,10_to_43,31.015,37.76,6.744999999999997,0.026072393213557043,0.9176890786411526
IMF4,2,43_to_10,87.79,94.25,6.459999999999994,0.027850832414594427,1.00293984397827
IMF4,3,10_to_43,131.24,137.695,6.454999999999984,0.04287720346634847,2.3752833136062814
IMF4,4,43_to_10,183.66,196.315,12.655,0.02616477421931756,1.7333955779879933
IMF5,1,10_to_43,31.015,37.76,6.744999999999997,0.029829812663959024,1.2012539268153017
IMF5,2,43_to_10,87.79,94.25,6.459999999999994,0.028517933081936446,1.051561351894686
IMF5,3,10_to_43,131.24,137.695,6.454999999999984,0.02796269284897836,1.0102305512452667
IMF5,4,43_to_10,183.66,196.315,12.655,0.027200539313699954,1.8733491662369381
IMF6,1,10_to_43,31.015,37.76,6.744999999999997,0.02022995734778654,0.5524890852959046
IMF6,2,43_to_10,87.79,94.25,6.459999999999994,0.02325618468988264,0.6993192133446017
IMF6,3,10_to_43,131.24,137.695,6.454999999999984,0.02023738333622958,0.5291407761123734
IMF6,4,43_to_10,183.66,196.315,12.655,0.026062003642767003,1.7198053817730208
IMF7,1,10_to_43,31.015,37.76,6.744999999999997,0.022380117613135117,0.6761740469099771
IMF7,2,43_to_10,87.79,94.25,6.459999999999994,0.02188556453685858,0.6193184700804236
IMF7,3,10_to_43,131.24,137.695,6.454999999999984,0.021780734889822,0.6129253327441966
IMF7,4,43_to_10,183.66,196.315,12.655,0.022756977540900204,1.311272227850096
IMF8,1,10_to_43,31.015,37.76,6.744999999999997,0.015637016886987584,0.3300970011173121
IMF8,2,43_to_10,87.79,94.25,6.459999999999994,0.01722151105512,0.38347851282695516
IMF8,3,10_to_43,131.24,137.695,6.454999999999984,0.01879274893050133,0.4562922967753976
IMF8,4,43_to_10,183.66,196.315,12.655,0.016978031083802237,0.7298579619698293
IMF9,1,10_to_43,31.015,37.76,6.744999999999997,0.015687317906042907,0.3322241231650934
IMF9,2,43_to_10,87.79,94.25,6.459999999999994,0.013719894684712056,0.24338851463635
IMF9,3,10_to_43,131.24,137.695,6.454999999999984,0.013502052873588329,0.2355386178871179
IMF9,4,43_to_10,183.66,196.315,12.655,0.016227443776469147,0.6667513866047591
IMF10,1,10_to_43,31.015,37.76,6.744999999999997,0.048718072488362726,3.2041582924248426
IMF10,2,43_to_10,87.79,94.25,6.459999999999994,0.037522985113417326,1.8205109144855078
IMF10,3,10_to_43,131.24,137.695,6.454999999999984,0.046045907759204835,2.739331502809007
IMF10,4,43_to_10,183.66,196.315,12.655,0.03507428494163026,3.114880235270011
IMF11,1,10_to_43,31.015,37.76,6.744999999999997,0.01964235565671542,0.5208598832556153
IMF11,2,43_to_10,87.79,94.25,6.459999999999994,0.017767060977965158,0.4081593133425888
IMF11,3,10_to_43,131.24,137.695,6.454999999999984,0.018790525570147078,0.45618433575343775
IMF11,4,43_to_10,183.66,196.315,12.655,0.020102652450934826,1.0232233212457085
