mode,algorithm_center_frequency_hz,spectral_centroid_hz,peak_frequency_hz,energy_nm2,energy_ratio,rms_nm,standard_deviation_nm,stable_rms_nm,stable_10deg_rms_nm,stable_43deg_rms_nm,mean_transition_rms_nm,transition_rms_std_nm,transition_to_stable_rms_ratio,transition_response_cv,motion_sensitivity_rank,motion_sensitive_candidate,nearest_welch_peak_hz,welch_frequency_difference_hz,nearest_welch_psd_nm2_per_hz,welch_psd_supported,angle_component_correlation,physical_role_candidate
IMF5,37.97459981279533,37.94209874038249,39.90785813630041,32.01376655397581,0.030082493015940088,0.026376304914185925,0.026376304912994777,0.025997521541497648,0.023849855767746793,0.028095688221995242,0.02831313189741782,0.0016353128486192765,1.0890704274337735,0.057758105127479926,1,False,39.892578125,0.0152800113004119,0.0017913139993125892,True,3.857018395015094e-06,background_dynamic_mode
IMF7,69.89185171455125,70.07048363614655,59.94871349095966,9.380521660877669,0.008814629071323127,0.014277726652882376,0.01427772664922777,0.014160984633621842,0.013275501602588011,0.015042929428111074,0.01449878620407605,0.0015829522458492016,1.0238543843661798,0.10917825972246982,2,False,59.9609375,0.012224009040338046,0.001726546385654018,True,-3.242577649620499e-06,background_dynamic_mode
IMF8,80.02939867698352,80.03872106981267,80.04607093184978,83.24421409234985,0.07822239488216479,0.04253266510698423,0.04253266510697036,0.04277956861530268,0.04199870808618725,0.04359213768105753,0.041813661213534595,0.006591665733444237,0.9774212916812165,0.15764383079926414,3,False,80.078125,0.03205406815021661,0.015522270687678056,True,-1.5253399953037638e-06,background_dynamic_mode
IMF4,20.390789569132902,20.333914138559695,20.071279554937412,43.63554424940508,0.04100317133619043,0.03079397595878816,0.030793975940658445,0.03092871635336382,0.03039734641151838,0.03148226372567076,0.030039396369514255,0.0013688874731881044,0.9712461398756674,0.045569739696145216,4,False,20.068359375,0.002920179937412115,0.006101068512470533,True,5.6190249034882155e-06,background_dynamic_mode
IMF6,56.291066929303575,56.52861294004327,59.97479137691238,17.716866837933658,0.016648073010024814,0.019621808293304267,0.01962180829323641,0.019703031411010163,0.015897434282462215,0.023061695105837943,0.018925152360240546,0.0013215453030177705,0.9605198289266723,0.06983010111951128,5,False,59.9609375,0.013853876912378382,0.001726546385654018,True,-3.857137344894791e-06,background_dynamic_mode
IMF9,89.84320550818003,90.30866871618623,90.49461057023643,17.198891333804244,0.016161345075055664,0.019332846115614474,0.019332846109010978,0.01945039226814441,0.023225621144219492,0.014405299366802326,0.018339041481571134,0.0012856293546122553,0.9428622944333293,0.07010341057923698,6,False,90.478515625,0.016094945236432068,0.00033398266966841667,True,1.1899810170293814e-05,background_dynamic_mode
IMF2,3.4807378000624967,3.415771815204959,2.1905424200278163,31.409850952793338,0.029515009435894652,0.026126335865983806,0.026126332381348965,0.026378948415633433,0.025621013813992382,0.027159395669622534,0.024564806700587073,0.002301854443147684,0.9312276711541912,0.09370537579246048,7,False,2.24609375,0.055551329972183705,0.0004409101123336271,True,0.0010271718489207756,background_dynamic_mode
IMF10,96.71409372882103,96.72031188420434,97.83988178025034,4.723783581688579,0.004438814981841343,0.010131892284126422,0.010131892280703006,0.010407578863330248,0.00820451757832972,0.012320239223598452,0.008265560967046804,0.001484699620791372,0.7941867244618493,0.1796247861107725,8,False,90.478515625,7.361366155250337,0.00033398266966841667,False,-7.102559094603769e-06,background_dynamic_mode
IMF3,17.023872398492884,17.19328272752816,17.793810848400554,207.3460242892197,0.19483759641486978,0.0671264104393255,0.06712641043414413,0.07006969679582618,0.05277922912568234,0.08462668949877886,0.045686871377839264,0.0072907754915365166,0.6520203949356969,0.15958141303308684,9,False,17.822265625,0.028454776599446063,0.013252133599626171,True,1.3783434753740839e-05,background_dynamic_mode
IMF1,0.008692628650904033,0.014003587460110637,0.008692628650904033,617.529788052943,0.5802764727766951,0.115844261062166,0.115844261062166,0.12251373553692185,0.11788873497548136,0.12723353658064052,0.06106083919476319,0.0037034426728680923,0.49839994615429245,0.06065168316890247,10,False,2.24609375,2.237401121349096,0.0004409101123336271,False,0.9967547233386581,angle_position_mode
