method,mode,event_id,direction,start_time_s,end_time_s,duration_s,peak_frequency_hz,pre_event_rms_nm,post_event_rms_nm,expected_baseline_rms_nm,event_rms_nm,corrected_response_ratio,excess_percent
VMD,IMF1,1,10_to_43,31.015,37.76,6.744999999999997,0.008692628650904,0.12189837577347032,0.1407680971836988,0.1316716962770083,0.06029141177674961,0.4578919652550821,-54.21080347449178
VMD,IMF2,1,10_to_43,31.015,37.76,6.744999999999997,16.18567454798331,0.04848885804395142,0.02653256419643646,0.039084180413848355,0.04444557531031699,1.1371755743551162,13.717557435511619
VMD,IMF3,1,10_to_43,31.015,37.76,6.744999999999997,17.793810848400554,0.02385258207302511,0.04541251689015892,0.03627149267571827,0.0315747867146172,0.870512470961934,-12.948752903806604
VMD,IMF4,1,10_to_43,31.015,37.76,6.744999999999997,35.626738525730175,0.017279855367053325,0.014588209015448904,0.015990766769994277,0.019747424466384066,1.2349266767769345,23.492667677693447
VMD,IMF5,1,10_to_43,31.015,37.76,6.744999999999997,39.90785813630041,0.02139480557894655,0.02315528243522435,0.022292429324951686,0.022714691955058094,1.0189419746027308,1.8941974602730838
VMD,IMF6,1,10_to_43,31.015,37.76,6.744999999999997,54.08118915159944,0.013330154631311458,0.015513030503083324,0.014462834056371316,0.015397309899777162,1.0646122219036442,6.461222190364424
VMD,IMF7,1,10_to_43,31.015,37.76,6.744999999999997,59.97479137691238,0.013341228795841197,0.017920888231953345,0.01579788942873614,0.010668669882511033,0.6753224809324765,-32.467751906752355
VMD,IMF8,1,10_to_43,31.015,37.76,6.744999999999997,72.63125869262865,0.012521467973675583,0.011107257757567419,0.011835504533158375,0.015884584931576917,1.3421130368438987,34.21130368438987
VMD,IMF9,1,10_to_43,31.015,37.76,6.744999999999997,80.04607093184978,0.038278781155812236,0.04484333556127237,0.04169046552291927,0.04869897090102418,1.1681081103364508,16.81081103364508
VMD,IMF10,1,10_to_43,31.015,37.76,6.744999999999997,90.29468011126563,0.026107948226881998,0.01431019246423424,0.021052393794779932,0.01962358583911448,0.9321308555410106,-6.786914445898939
VMD,IMF1,2,43_to_10,87.79,94.25,6.459999999999994,0.008692628650904,0.14154803758017934,0.1104099091677586,0.1269373762633224,0.0688326976757145,0.542257132626769,-45.7742867373231
VMD,IMF2,2,43_to_10,87.79,94.25,6.459999999999994,16.18567454798331,0.04516172177374217,0.04210396766816207,0.043659622117985256,0.029893362273722614,0.6846912736198023,-31.53087263801977
VMD,IMF3,2,43_to_10,87.79,94.25,6.459999999999994,17.793810848400554,0.03387914976921322,0.025899567505691327,0.03015447218959936,0.031069449913350755,1.0303430190387144,3.034301903871439
VMD,IMF4,2,43_to_10,87.79,94.25,6.459999999999994,35.626738525730175,0.018280160887422084,0.021005023623909765,0.019689785416695676,0.022453797140338887,1.1403779505539713,14.03779505539713
VMD,IMF5,2,43_to_10,87.79,94.25,6.459999999999994,39.90785813630041,0.030502620572300562,0.020488256948376388,0.025982480006346842,0.02229818538313876,0.8582008098415507,-14.179919015844932
VMD,IMF6,2,43_to_10,87.79,94.25,6.459999999999994,54.08118915159944,0.01808606472366304,0.017277333553416395,0.017686322284530164,0.016739431368491372,0.9464619664390591,-5.3538033560940885
VMD,IMF7,2,43_to_10,87.79,94.25,6.459999999999994,59.97479137691238,0.014702755470733117,0.011836011820727965,0.013346576232363577,0.010908223431852779,0.8173049958237129,-18.269500417628713
VMD,IMF8,2,43_to_10,87.79,94.25,6.459999999999994,72.63125869262865,0.01477192745259553,0.014368570123222452,0.014571644520278182,0.014099375680296778,0.9675898736533007,-3.2410126346699264
VMD,IMF9,2,43_to_10,87.79,94.25,6.459999999999994,80.04607093184978,0.03988573265765627,0.035021772640867956,0.03753262732974255,0.03748802662085446,0.998811681673754,-0.11883183262459962
VMD,IMF10,2,43_to_10,87.79,94.25,6.459999999999994,90.29468011126563,0.01686483443627235,0.020680910088195018,0.018869587735810288,0.01775298117288379,0.9408250684349916,-5.917493156500841
VMD,IMF1,3,10_to_43,131.24,137.695,6.454999999999984,0.008692628650904,0.12326047013003903,0.1328805791844011,0.12816082049725677,0.06580977670360776,0.5134937217807246,-48.650627821927536
VMD,IMF2,3,10_to_43,131.24,137.695,6.454999999999984,16.18567454798331,0.048232557589936394,0.014055657486406227,0.03552422496720863,0.0329129872416228,0.9264941676279725,-7.350583237202746
VMD,IMF3,3,10_to_43,131.24,137.695,6.454999999999984,17.793810848400554,0.027809486647677482,0.05624595276968084,0.04436763882931184,0.04062631786908924,0.9156745533694962,-8.432544663050379
VMD,IMF4,3,10_to_43,131.24,137.695,6.454999999999984,35.626738525730175,0.018884571585942884,0.015593602596743188,0.01731744042764053,0.019491578506656903,1.1255461560904931,12.554615609049314
VMD,IMF5,3,10_to_43,131.24,137.695,6.454999999999984,39.90785813630041,0.020952485322775032,0.022886819034736994,0.021940979088567385,0.021973109067893123,1.0014643822044604,0.1464382204460435
VMD,IMF6,3,10_to_43,131.24,137.695,6.454999999999984,54.08118915159944,0.011297802325772321,0.01718045958899586,0.014539747746803352,0.01650690212339844,1.1352949453354566,13.52949453354566
VMD,IMF7,3,10_to_43,131.24,137.695,6.454999999999984,59.97479137691238,0.013503210465087461,0.015296343678323093,0.014427661327980748,0.013519963852879756,0.9370863056411908,-6.291369435880922
VMD,IMF8,3,10_to_43,131.24,137.695,6.454999999999984,72.63125869262865,0.011101473672956007,0.012799921365131159,0.011980832706136842,0.013509733327113223,1.1276122168197245,12.761221681972446
VMD,IMF9,3,10_to_43,131.24,137.695,6.454999999999984,80.04607093184978,0.041484900190958206,0.043110411776294905,0.04230546387510407,0.04601947200540896,1.087790270809216,8.779027080921598
VMD,IMF10,3,10_to_43,131.24,137.695,6.454999999999984,90.29468011126563,0.02554737002566181,0.015299739069699938,0.021056473242556387,0.018777861401962085,0.8917856844141833,-10.821431558581674
VMD,IMF1,4,43_to_10,183.66,196.315,12.655,0.008692628650904,0.13283609407684396,0.12186087361956964,0.12746666311023613,0.06258652122961908,0.4910030568188076,-50.89969431811924
VMD,IMF2,4,43_to_10,183.66,196.315,12.655,16.18567454798331,0.025218632634302855,0.0509291825659948,0.040185576198334856,0.03549204440802523,0.8832035711732782,-11.67964288267218
VMD,IMF3,4,43_to_10,183.66,196.315,12.655,17.793810848400554,0.08526977010680341,0.02698502485051033,0.06324209539638043,0.0309511812556255,0.4894079024680284,-51.05920975319715
VMD,IMF4,4,43_to_10,183.66,196.315,12.655,35.626738525730175,0.01883571446483562,0.022463312268142743,0.02072901996546038,0.025593677836568712,1.2346786234570686,23.46786234570686
VMD,IMF5,4,43_to_10,183.66,196.315,12.655,39.90785813630041,0.022790097912658767,0.014158035021600844,0.01897153813665947,0.02293983277711644,1.2091709492330973,20.917094923309733
VMD,IMF6,4,43_to_10,183.66,196.315,12.655,54.08118915159944,0.01816843101702478,0.018463417762541068,0.018316518243030048,0.01823813944870202,0.9957208682737587,-0.4279131726241281
